"","Shannon.Wiener","Simpson","observed_species","Chao1","ACE","Nadd","Nlevel","Nitrogen","Treatment","Year","Block"
"Bac88",6.64438955771188,0.996064828273222,2342,3670.74285714286,3771.52629008996,"Ncont",10,"N10","N+N10",2017,"B4"
"Bac89",6.66122449615686,0.996885356694101,2290,3583.86756756757,3644.82472336912,"Ncont",15,"N15","N+N15",2017,"B4"
"Bac90",6.33037770961923,0.992357695002642,2091,3218.58017492711,3263.96772954968,"Ncont",20,"N20","N+N20",2017,"B4"
"Bac91",3.23380973127974,0.820292757462306,436,692.666666666667,700.837162249808,"Ncont",50,"N50","N+N50",2017,"B4"
"Bac99",6.78191268497009,0.997160925266598,2578,4131.46153846154,4199.08384415204,"Ncess",0,"N0","N-N0",2017,"B4"
"Bac100",6.68951273921125,0.996372110565013,2490,4005.95728643216,4007.09265002554,"Ncess",2,"N2","N-N2",2017,"B4"
"Bac101",6.74178023051206,0.996740239678029,2470,4003.28418230563,3901.64637526172,"Ncess",5,"N5","N-N5",2017,"B4"
"Bac102",6.61497456719852,0.994698467809244,2447,3823.55076142132,3812.45081588684,"Ncess",10,"N10","N-N10",2017,"B4"
"Bac103",6.61607955747816,0.995986303773479,2292,3613.40983606557,3627.85938795196,"Ncess",15,"N15","N-N15",2017,"B4"
"Bac104",6.61669815898765,0.996282436359593,2367,3818.8,3781.56224116038,"Ncess",20,"N20","N-N20",2017,"B4"
"Bac105",5.00040398659239,0.958476958476825,1475,2589.775,2656.17745126211,"Ncess",50,"N50","N-N50",2017,"B4"
"Bac113",6.73303678685864,0.996773976529402,2543,4118.80097087379,4161.22945775298,"Ncont",0,"N0","N+N0",2017,"B5"
"Bac114",6.71244320851381,0.996285538495447,2380,3580.19796954315,3626.08668026027,"Ncont",2,"N2","N+N2",2017,"B5"
"Bac115",6.57501302449753,0.995827096766443,2251,3635.31547619048,3563.00535388206,"Ncont",5,"N5","N+N5",2017,"B5"
"Bac116",6.56071386390818,0.995404684771834,2365,3680.68656716418,3793.16457343881,"Ncont",10,"N10","N+N10",2017,"B5"
"Bac117",6.57842906459366,0.996204649179096,2308,3761.3125,3685.96138544994,"Ncont",15,"N15","N+N15",2017,"B5"
"Bac118",6.64589781404168,0.996556889961522,2402,3798.51470588235,3949.55362217543,"Ncont",20,"N20","N+N20",2017,"B5"
"Bac119",4.52287953393444,0.960579496241551,625,961.521739130435,887.61964964802,"Ncont",50,"N50","N+N50",2017,"B5"
"Bac127",6.75899988527021,0.99675756668032,2503,4030.47088607595,4052.89934229748,"Ncess",0,"N0","N-N0",2017,"B5"
"Bac128",6.81676429729745,0.996933794971911,2623,4019.54565217391,4158.85262942765,"Ncess",2,"N2","N-N2",2017,"B5"
"Bac129",6.67378060541984,0.996335154685711,2465,4016.03084832905,4027.30727881155,"Ncess",5,"N5","N-N5",2017,"B5"
"Bac130",6.74173561232885,0.996657507063563,2559,4174.97290640394,4176.22670897844,"Ncess",10,"N10","N-N10",2017,"B5"
"Bac131",6.65887747603091,0.996428857171892,2357,3755.24538258575,3798.54726629426,"Ncess",15,"N15","N-N15",2017,"B5"
"Bac132",6.71947872488582,0.996152839014489,2503,3791.70547945205,3955.28625956161,"Ncess",20,"N20","N-N20",2017,"B5"
"Bac133",4.80367238705038,0.969514861379755,897,1636.45871559633,1553.35391324028,"Ncess",50,"N50","N-N50",2017,"B5"
"Bac1902",6.70817486060901,0.996340621638172,2563,4281.73123486683,4377.32726981172,"Ncont",0,"N0","N+N0",2019,"B1"
"Bac1903",6.64538805883448,0.996490000719156,2410,3864.8947368421,3965.06546021688,"Ncont",2,"N2","N+N2",2019,"B1"
"Bac1904",6.61277637618144,0.995433880815653,2500,4025.0954653938,4115.92453558317,"Ncont",5,"N5","N+N5",2019,"B1"
"Bac1905",6.72787503733209,0.996834382757419,2484,4067.59746835443,4091.26656815784,"Ncont",10,"N10","N+N10",2019,"B1"
"Bac1906",6.62866074992894,0.99641028931526,2380,3925.51724137931,3972.46670734243,"Ncont",15,"N15","N+N15",2019,"B1"
"Bac1907",6.18993791598736,0.991347064099964,1996,3228.00925925926,3353.35140093086,"Ncont",20,"N20","N+N20",2019,"B1"
"Bac1908",6.38189277394641,0.994797376488641,2171,3504.2955801105,3646.00252944465,"Ncont",50,"N50","N+N50",2019,"B1"
"Bac1909",6.6377436471387,0.995956136626263,2483,4054.75980392157,4147.09568357829,"Ncess",0,"N0","N-N0",2019,"B1"
"Bac1910",6.6694235408345,0.996339983227606,2545,4146.19194312796,4202.87262161892,"Ncess",2,"N2","N-N2",2019,"B1"
"Bac1911",6.68727841702484,0.996364656447266,2495,4022.97037037037,4064.38793213292,"Ncess",5,"N5","N-N5",2019,"B1"
"Bac1912",6.68052136739238,0.995976583747804,2578,4147.41609195402,4257.26336306037,"Ncess",10,"N10","N-N10",2019,"B1"
"Bac1913",6.67946595883364,0.996182826327742,2546,4266.01246882793,4304.31900405605,"Ncess",15,"N15","N-N15",2019,"B1"
"Bac1914",6.59025043556271,0.996382037399745,2290,3686.736,3781.61017434089,"Ncess",20,"N20","N-N20",2019,"B1"
"Bac1915",6.01531540297516,0.992544155846701,1691,2712.72972972973,2744.05808437869,"Ncess",50,"N50","N-N50",2019,"B1"
"Bac1917",6.71675735611128,0.996339551626095,2600,4215.81489841986,4328.39132277452,"Ncont",0,"N0","N+N0",2019,"B2"
"Bac1918",6.5272741107463,0.995802513463764,2351,3880.59574468085,3896.54152798003,"Ncont",2,"N2","N+N2",2019,"B2"
"Bac1919",6.68371929138918,0.996324832216262,2562,4176.67205542725,4311.83741040713,"Ncont",5,"N5","N+N5",2019,"B2"
"Bac1920",6.74155530178381,0.996551926544156,2587,4226.42409638554,4226.30747304847,"Ncont",10,"N10","N+N10",2019,"B2"
"Bac1921",6.74461189247929,0.996759302078059,2513,3941.9598108747,4052.52008422185,"Ncont",15,"N15","N+N15",2019,"B2"
"Bac1922",6.46314224750092,0.995672115857527,2165,3473.68221574344,3545.1588409389,"Ncont",20,"N20","N+N20",2019,"B2"
"Bac1923",4.86245710636421,0.973044354662139,776,1232.47368421053,1172.12084464043,"Ncont",50,"N50","N+N50",2019,"B2"
"Bac1924",6.64287566690283,0.99611001155631,2497,4259.5,4296.72034519306,"Ncess",0,"N0","N-N0",2019,"B2"
"Bac1925",6.63592195509852,0.995997183728213,2522,4337.30534351145,4300.6116145953,"Ncess",2,"N2","N-N2",2019,"B2"
"Bac1926",6.54377630715452,0.995323984281145,2399,3835.1094890511,3999.18167108622,"Ncess",5,"N5","N-N5",2019,"B2"
"Bac1927",6.63319461044781,0.996176631047733,2446,4148.62096774194,4111.82994452634,"Ncess",10,"N10","N-N10",2019,"B2"
"Bac1928",6.71881176280152,0.996231831082534,2594,4292.60714285714,4339.80527255906,"Ncess",15,"N15","N-N15",2019,"B2"
"Bac1929",6.77179505536427,0.996843734123471,2531,4023.94352941176,4155.9267284444,"Ncess",20,"N20","N-N20",2019,"B2"
"Bac1930",6.42005051682794,0.996163889811487,2114,3643.859375,3680.5646544865,"Ncess",50,"N50","N-N50",2019,"B2"
"Bac1932",6.76640227465252,0.996834670491759,2630,4415.82394366197,4486.96509759599,"Ncont",0,"N0","N+N0",2019,"B3"
"Bac1933",6.61173693098957,0.9962713585875,2378,4103.15277777778,4138.37394404471,"Ncont",2,"N2","N+N2",2019,"B3"
"Bac1934",6.62256901706551,0.996213353142883,2433,4048.05154639175,4116.00964171088,"Ncont",5,"N5","N+N5",2019,"B3"
"Bac1935",6.6177448810302,0.996375455476716,2405,4176.4861878453,4204.06627069872,"Ncont",10,"N10","N+N10",2019,"B3"
"Bac1936",6.65321940950921,0.9965373150347,2323,3719.01369863014,3753.97356592272,"Ncont",15,"N15","N+N15",2019,"B3"
"Bac1937",6.5699773410141,0.995712821274948,2359,3953.78846153846,3992.67249195982,"Ncont",20,"N20","N+N20",2019,"B3"
"Bac1938",5.48881547334194,0.973308153101788,1557,2530.09523809524,2476.97401999177,"Ncont",50,"N50","N+N50",2019,"B3"
"Bac1939",6.5448380075549,0.995882836303132,2379,4137.64285714286,4143.02730776257,"Ncess",0,"N0","N-N0",2019,"B3"
"Bac1940",6.66051857275575,0.996255731016156,2519,4235.50980392157,4324.54611467501,"Ncess",2,"N2","N-N2",2019,"B3"
"Bac1941",6.68916771276661,0.996243466339911,2594,4359.10672853828,4532.99098823633,"Ncess",5,"N5","N-N5",2019,"B3"
"Bac1942",6.47529607109173,0.99540355181787,2277,3723.2027027027,3752.97529981521,"Ncess",10,"N10","N-N10",2019,"B3"
"Bac1943",6.7126290651408,0.99683619908044,2480,3973.1,4037.17062385278,"Ncess",15,"N15","N-N15",2019,"B3"
"Bac1944",6.64164810956435,0.996102080878562,2495,4230.80303030303,4286.70347998043,"Ncess",20,"N20","N-N20",2019,"B3"
"Bac1945",6.73754395756716,0.997176489896056,2386,3695.11538461538,3756.33230291273,"Ncess",50,"N50","N-N50",2019,"B3"
"Bac1947",6.71017108436271,0.996806688327188,2556,4324.83663366337,4330.97175509418,"Ncont",0,"N0","N+N0",2019,"B4"
"Bac1948",6.71745016555347,0.996661202651493,2571,4357.96341463415,4430.72394837122,"Ncont",2,"N2","N+N2",2019,"B4"
"Bac1949",6.68927053990279,0.996677936201708,2510,4034.89018691589,4212.29363400014,"Ncont",5,"N5","N+N5",2019,"B4"
"Bac1950",6.6435353158242,0.996282166608649,2451,4074.71907216495,4107.2103202742,"Ncont",10,"N10","N+N10",2019,"B4"
"Bac1951",6.58063099824573,0.996157020154118,2271,3706.9416909621,3652.2634774844,"Ncont",15,"N15","N+N15",2019,"B4"
"Bac1952",6.4187917985603,0.994731278515709,2219,3647.47191011236,3720.14610050078,"Ncont",20,"N20","N+N20",2019,"B4"
"Bac1953",4.81798340853396,0.95811309142872,1029,1630.61111111111,1697.38820679177,"Ncont",50,"N50","N+N50",2019,"B4"
"Bac1954",6.63111114381393,0.996264884564849,2420,4100.01617250674,4114.26437243305,"Ncess",0,"N0","N-N0",2019,"B4"
"Bac1955",6.62927461791095,0.996500646889738,2432,4245.21917808219,4190.28841904483,"Ncess",2,"N2","N-N2",2019,"B4"
"Bac1956",6.76247170316863,0.996840002568748,2600,4379.0897755611,4348.87381529501,"Ncess",5,"N5","N-N5",2019,"B4"
"Bac1957",6.64005769511956,0.996192654253795,2457,3984.66176470588,4076.70128173167,"Ncess",10,"N10","N-N10",2019,"B4"
"Bac1958",6.71202616393075,0.996551144266419,2524,4100.24235294118,4312.39609062293,"Ncess",15,"N15","N-N15",2019,"B4"
"Bac1959",6.59416470600414,0.995417434999778,2398,3907.56777493606,4004.0475823822,"Ncess",20,"N20","N-N20",2019,"B4"
"Bac1960",6.23294831509374,0.994837047860777,1873,2924.48534201954,2986.38508596366,"Ncess",50,"N50","N-N50",2019,"B4"
"Bac1962",6.57990271120666,0.995501066784057,2498,4287.50757575758,4370.5827549543,"Ncont",0,"N0","N+N0",2019,"B5"
"Bac1963",6.38326785611808,0.994651324335964,2224,3543.73947368421,3677.92113278813,"Ncont",2,"N2","N+N2",2019,"B5"
"Bac1964",6.72508241660816,0.99647553307687,2594,4206.93981481481,4289.31995585556,"Ncont",5,"N5","N+N5",2019,"B5"
"Bac1965",6.63157598536956,0.996414470454889,2367,3787.2,3900.42391695699,"Ncont",10,"N10","N+N10",2019,"B5"
"Bac1966",6.50654141162448,0.995668105560162,2265,3758.0756302521,3807.56845426025,"Ncont",15,"N15","N+N15",2019,"B5"
"Bac1967",6.44942837231257,0.994872771877435,2174,3681.38095238095,3578.77823194064,"Ncont",20,"N20","N+N20",2019,"B5"
"Bac1968",4.94166081921926,0.975014948248551,850,1214.63414634146,1216.48894523898,"Ncont",50,"N50","N+N50",2019,"B5"
"Bac1969",6.73496685294372,0.996338175896282,2604,4285.8578313253,4277.96832690034,"Ncess",0,"N0","N-N0",2019,"B5"
"Bac1970",6.47824563385744,0.994921129229962,2385,3949.98730964467,4066.16929251797,"Ncess",2,"N2","N-N2",2019,"B5"
"Bac1971",6.60911187610482,0.995456027368139,2497,4195.70229007634,4205.2699181683,"Ncess",5,"N5","N-N5",2019,"B5"
"Bac1972",6.7540015486127,0.996678008135293,2584,4367.50753768844,4326.68898635504,"Ncess",10,"N10","N-N10",2019,"B5"
"Bac1973",6.77885102003139,0.996834283848739,2548,4146.1654676259,4235.0977568916,"Ncess",15,"N15","N-N15",2019,"B5"
"Bac1974",6.65564871012358,0.996397053535617,2405,3806.3358778626,3853.48705326119,"Ncess",20,"N20","N-N20",2019,"B5"
"Bac1975",5.96529165649558,0.993437957615617,1602,2574.07468879668,2585.52331277981,"Ncess",50,"N50","N-N50",2019,"B5"
