OTU,kingdom,phylum,class,order,family,genus,species
OTU10025,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__uncultured_actinobacterium_g__norank_f__norank
OTU10026,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_Gemmatimonadetes_bacterium_g__norank_f__norank
OTU10027,Bacteria,Chloroflexi,c__unclassified_p__Chloroflexi,o__unclassified_p__Chloroflexi,f__unclassified_p__Chloroflexi,g__unclassified_p__Chloroflexi,s__unclassified_p__Chloroflexi
OTU10028,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank_f__Ilumatobacteraceae,s__unclassified_g__norank_f__Ilumatobacteraceae
OTU10029,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Iamiaceae,g__Iamia,s__uncultured_bacterium_g__Iamia
OTU1003,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__unclassified_g__norank_f__norank_o__IMCC26256
OTU10030,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__metagenome_g__Gemmatimonas
OTU10031,Bacteria,Myxococcota,c__bacteriap25,o__norank_c__bacteriap25,f__norank_o__norank_c__bacteriap25,g__norank_f__norank_o__norank_c__bacteriap25,s__metagenome_g__norank_f__norank_o__norank_c__bacteriap25
OTU10032,Bacteria,Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__norank_f__Euzebyaceae,s__unclassified_g__norank_f__Euzebyaceae
OTU10033,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__unclassified_c__Alphaproteobacteria,f__unclassified_c__Alphaproteobacteria,g__unclassified_c__Alphaproteobacteria,s__unclassified_c__Alphaproteobacteria
OTU10034,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_bacterium_g__AKYG587
OTU10035,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__NS11-12_marine_group,g__norank_f__NS11-12_marine_group,s__uncultured_Bacteroidetes_bacterium_g__norank_f__NS11-12_marine_group
OTU10036,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Rickettsiella,s__unclassified_g__Rickettsiella
OTU10037,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU10038,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10039,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unclassified_f__Gemmatimonadaceae,s__unclassified_f__Gemmatimonadaceae
OTU1004,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__unclassified_g__Mucilaginibacter
OTU10040,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10041,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__unclassified_g__norank_f__A4b
OTU10042,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Edaphobaculum,s__uncultured_bacterium_g__Edaphobaculum
OTU10043,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_bacterium_g__norank_f__A4b
OTU10044,Bacteria,Acidobacteriota,c__unclassified_p__Acidobacteriota,o__unclassified_p__Acidobacteriota,f__unclassified_p__Acidobacteriota,g__unclassified_p__Acidobacteriota,s__unclassified_p__Acidobacteriota
OTU10045,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10046,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10047,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU10048,Bacteria,Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,s__unclassified_g__Sphingobacterium
OTU10049,Bacteria,Myxococcota,c__bacteriap25,o__norank_c__bacteriap25,f__norank_o__norank_c__bacteriap25,g__norank_f__norank_o__norank_c__bacteriap25,s__metagenome_g__norank_f__norank_o__norank_c__bacteriap25
OTU1005,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10050,Bacteria,Patescibacteria,c__Berkelbacteria,o__norank_c__Berkelbacteria,f__norank_o__norank_c__Berkelbacteria,g__norank_f__norank_o__norank_c__Berkelbacteria,s__unclassified_g__norank_f__norank_o__norank_c__Berkelbacteria
OTU10051,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10052,Bacteria,Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank_f__67-14,s__unclassified_g__norank_f__67-14
OTU10053,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__TRA3-20,g__norank_f__TRA3-20,s__uncultured_beta_proteobacterium_g__norank_f__TRA3-20
OTU10054,Bacteria,Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank_f__Gemmatimonadaceae,s__uncultured_bacterium_g__norank_f__Gemmatimonadaceae
OTU10055,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10056,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__unclassified_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU10057,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_Actinomycetales_bacterium_g__norank_f__norank_o__IMCC26256
OTU10058,Bacteria,Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__unclassified_g__Subgroup_10
OTU10059,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10060,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU10061,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__norank_f__Diplorickettsiaceae,s__unclassified_g__norank_f__Diplorickettsiaceae
OTU10063,Bacteria,Patescibacteria,c__Gracilibacteria,o__Candidatus_Peribacteria,f__norank_o__Candidatus_Peribacteria,g__norank_f__norank_o__Candidatus_Peribacteria,s__uncultured_bacterium_g__norank_f__norank_o__Candidatus_Peribacteria
OTU10064,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10065,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_bacterium_g__norank_f__norank_o__IMCC26256
OTU10066,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__unclassified_c__Acidimicrobiia,f__unclassified_c__Acidimicrobiia,g__unclassified_c__Acidimicrobiia,s__unclassified_c__Acidimicrobiia
OTU10067,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU10068,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Edaphobaculum,s__uncultured_bacterium_g__Edaphobaculum
OTU10069,Bacteria,Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae,g__Sporocytophaga,s__metagenome_g__Sporocytophaga
OTU1007,Bacteria,Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Chryseobacterium,s__unclassified_g__Chryseobacterium
OTU10070,Bacteria,Acidobacteriota,c__Holophagae,o__Subgroup_7,f__norank_o__Subgroup_7,g__norank_f__norank_o__Subgroup_7,s__unclassified_g__norank_f__norank_o__Subgroup_7
OTU10071,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_bacterium_g__norank_f__LWQ8
OTU10072,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10073,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__unclassified_o__Gammaproteobacteria_Incertae_Sedis,g__Candidatus_Ovatusbacter,s__uncultured_bacterium_g__Candidatus_Ovatusbacter
OTU10074,Bacteria,Actinobacteriota,c__Actinobacteria,o__Euzebyales,f__Euzebyaceae,g__norank_f__Euzebyaceae,s__unclassified_g__norank_f__Euzebyaceae
OTU10075,Bacteria,Myxococcota,c__Polyangia,o__Blfdi19,f__norank_o__Blfdi19,g__norank_f__norank_o__Blfdi19,s__Anaeromyxobacter_dehalogenans_g__norank
OTU10076,Bacteria,Chloroflexi,c__Chloroflexia,o__Thermomicrobiales,f__JG30-KF-CM45,g__norank_f__JG30-KF-CM45,s__uncultured_bacterium_g__norank_f__JG30-KF-CM45
OTU10077,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__unclassified_g__norank_f__norank_o__Saccharimonadales
OTU10078,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__EC3,f__norank_o__EC3,g__norank_f__norank_o__EC3,s__uncultured_bacterium_g__norank_f__norank_o__EC3
OTU10079,Bacteria,Armatimonadota,c__norank_p__Armatimonadota,o__norank_c__norank_p__Armatimonadota,f__norank_o__norank_c__norank_p__Armatimonadota,g__norank_f__norank_o__norank_c__norank_p__Armatimonadota,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__norank_p__Armatimonadota
OTU1008,Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank_f__Micropepsaceae,s__metagenome_g__norank_f__Micropepsaceae
OTU10080,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10081,Bacteria,unclassified_k__norank_d__Bacteria,c__unclassified_k__norank_d__Bacteria,o__unclassified_k__norank_d__Bacteria,f__unclassified_k__norank_d__Bacteria,g__unclassified_k__norank_d__Bacteria,s__unclassified_k__norank_d__Bacteria
OTU10082,Bacteria,Acidobacteriota,c__Subgroup_22,o__norank_c__Subgroup_22,f__norank_o__norank_c__Subgroup_22,g__norank_f__norank_o__norank_c__Subgroup_22,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Subgroup_22
OTU10083,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Ellin6067,s__unclassified_g__Ellin6067
OTU10084,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10085,Bacteria,Patescibacteria,c__Parcubacteria,o__norank_c__Parcubacteria,f__norank_o__norank_c__Parcubacteria,g__norank_f__norank_o__norank_c__Parcubacteria,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Parcubacteria
OTU10086,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__uncultured_bacterium_g__Aquicella
OTU10087,Bacteria,Actinobacteriota,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__unclassified_f__Pseudonocardiaceae,s__unclassified_f__Pseudonocardiaceae
OTU10088,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__norank_f__A4b,s__uncultured_soil_bacterium_g__norank_f__A4b
OTU10089,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU1009,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Edaphobaculum,s__uncultured_bacterium_g__Edaphobaculum
OTU10090,Bacteria,Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__uncultured_bacterium_g__Subgroup_10
OTU10091,Bacteria,Patescibacteria,c__unclassified_p__Patescibacteria,o__unclassified_p__Patescibacteria,f__unclassified_p__Patescibacteria,g__unclassified_p__Patescibacteria,s__unclassified_p__Patescibacteria
OTU10092,Bacteria,Chloroflexi,c__Anaerolineae,o__RBG-13-54-9,f__norank_o__RBG-13-54-9,g__norank_f__norank_o__RBG-13-54-9,s__unclassified_g__norank_f__norank_o__RBG-13-54-9
OTU10093,Bacteria,Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__unclassified_g__Subgroup_10
OTU10094,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10095,Bacteria,Elusimicrobiota,c__Lineage_IIa,o__norank_c__Lineage_IIa,f__norank_o__norank_c__Lineage_IIa,g__norank_f__norank_o__norank_c__Lineage_IIa,s__unclassified_g__norank_f__norank_o__norank_c__Lineage_IIa
OTU10096,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Serratia,s__unclassified_g__Serratia
OTU10097,Bacteria,Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__uncultured_bacterium_g__Haliangium
OTU10098,Bacteria,Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__norank_f__Gemmataceae,s__uncultured_bacterium_g__norank_f__Gemmataceae
OTU10099,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__Nitrosomonas,s__metagenome_g__Nitrosomonas
OTU101,Bacteria,Chloroflexi,c__TK10,o__norank_c__TK10,f__norank_o__norank_c__TK10,g__norank_f__norank_o__norank_c__TK10,s__unclassified_g__norank_f__norank_o__norank_c__TK10
OTU1010,Bacteria,Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__uncultured_soil_bacterium_g__Acidothermus
OTU10100,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__LWQ8,g__norank_f__LWQ8,s__uncultured_soil_bacterium_g__norank_f__LWQ8
OTU10101,Bacteria,Chloroflexi,c__Anaerolineae,o__Ardenticatenales,f__norank_o__Ardenticatenales,g__norank_f__norank_o__Ardenticatenales,s__uncultured_bacterium_g__norank_f__norank_o__Ardenticatenales
OTU10102,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__norank_o__Microtrichales,g__norank_f__norank_o__Microtrichales,s__uncultured_bacterium_g__norank_f__norank_o__Microtrichales
OTU10103,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__metagenome_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10104,Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__unclassified_f__Oxalobacteraceae,s__unclassified_f__Oxalobacteraceae
OTU10105,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank_o__IMCC26256,g__norank_f__norank_o__IMCC26256,s__uncultured_actinobacterium_g__norank_f__norank_o__IMCC26256
OTU10106,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__I-8,s__uncultured_bacterium_g__I-8
OTU10107,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__uncultured_Acidimicrobiia_bacterium_g__norank
OTU10108,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__uncultured_bacterium_g__norank_f__norank_o__SBR1031
OTU10109,Bacteria,Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_o__norank_c__JG30-KF-CM66,g__norank_f__norank_o__norank_c__JG30-KF-CM66,s__unclassified_g__norank_f__norank_o__norank_c__JG30-KF-CM66
OTU1011,Bacteria,Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__unclassified_f__Intrasporangiaceae,s__unclassified_f__Intrasporangiaceae
OTU10110,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10111,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__unclassified_o__Saccharimonadales,g__unclassified_o__Saccharimonadales,s__unclassified_o__Saccharimonadales
OTU10112,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__S32,g__TM7,s__unclassified_g__TM7
OTU10113,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__37-13,g__norank_f__37-13,s__metagenome_g__norank_f__37-13
OTU10114,Bacteria,Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__AKYG587,s__uncultured_bacterium_g__AKYG587
OTU10115,Bacteria,Chloroflexi,c__Anaerolineae,o__SBR1031,f__norank_o__SBR1031,g__norank_f__norank_o__SBR1031,s__unclassified_g__norank_f__norank_o__SBR1031
OTU10116,Bacteria,Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__norank_o__Saccharimonadales,g__norank_f__norank_o__Saccharimonadales,s__uncultured_soil_bacterium_g__norank_f__norank_o__Saccharimonadales
OTU10117,Bacteria,Planctomycetota,c__Planctomycetes,o__norank_c__Planctomycetes,f__norank_o__norank_c__Planctomycetes,g__norank_f__norank_o__norank_c__Planctomycetes,s__uncultured_bacterium_g__norank_f__norank_o__norank_c__Planctomycetes
OTU10118,Bacteria,Actinobacteriota,c__Acidimicrobiia,o__norank_c__Acidimicrobiia,f__norank_o__norank_c__Acidimicrobiia,g__norank_f__norank_o__norank_c__Acidimicrobiia,s__unclassified_g__norank_f__norank_o__norank_c__Acidimicrobiia
OTU10119,Bacteria,Abditibacteriota,c__Abditibacteria,o__Abditibacteriales,f__Abditibacteriaceae,g__Abditibacterium,s__uncultured_bacterium_g__Abditibacterium
OTU1012,Bacteria,Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Nakamurellaceae,g__Nakamurella,s__uncultured_bacterium_g__Nakamurella
OTU10120,Bacteria,Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__norank_o__Chitinophagales,g__norank_f__norank_o__Chitinophagales,s__unclassified_g__norank_f__norank_o__Chitinophagales
OTU10121,Bacteria,Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__JGI_0001001-H03,s__unclassified_g__JGI_0001001-H03
